mol,stage,r_no,lambda,log_lambda,w17max,w17max_mo,w17max_delta_lumo,w17max_in_window,w78max,w78max_mo,w78max_delta_lumo,w78max_in_window,wcnmax,wcnmax_mo,wcnmax_delta_lumo,wcnmax_in_window,max_leading_weight,max_leading_weight_mo,n_virtual_mos_in_window
mol_020_E,sp3,1.7029,0.3557553797670612,-0.44884852375110507,0.203401,126,0.49892,False,0.07236100000000001,116,0.41422,False,0.405769,49,0.01808,True,0.712336,48,66
mol_020_E,sp4,1.8029,0.4213604185903354,-0.3753462632109929,0.207936,126,0.52407,False,0.08761599999999999,107,0.38669,True,0.45024100000000006,49,0.04336,True,0.813604,48,63
mol_020_E,sp5_1,1.9029,0.4385772553835358,-0.35795389458633886,0.205209,126,0.54454,False,0.09,107,0.40762,False,0.45968400000000004,49,0.06252,True,0.8281000000000001,48,58
mol_020_E,sp5_2,1.9029,0.3829281442995784,-0.4168827128771348,0.16321600000000003,126,0.54338,False,0.0625,107,0.40533,False,0.45832900000000004,49,0.06551,True,0.813604,48,58
mol_021_E,nbo,1.5033,0.8433985839233652,-0.07396713250634,0.11764900000000002,135,0.48764,False,0.09922500000000001,120,0.37741,True,0.46922500000000006,52,0.0,True,0.46922500000000006,52,72
mol_021_E,scan_1,1.5033,0.8433985839233652,-0.07396713250634,0.11764900000000002,135,0.48764,False,0.09922500000000001,120,0.37741,True,0.46922500000000006,52,0.0,True,0.46922500000000006,52,72
mol_021_E,scan_2,1.9033,0.7112111111111111,-0.14800146708768902,0.09,135,0.55134,False,0.064009,115,0.41782,False,0.4760999999999999,53,0.06687,True,0.817216,52,61
mol_021_E,sp2,1.6033,1.0823752941630338,0.034377870682028654,0.10368400000000001,135,0.48754,False,0.11222500000000002,120,0.37759,True,0.45562500000000006,52,0.0,True,0.7224999999999999,53,72
mol_021_E,sp3,1.7033,1.1373053277557645,0.05587707362205754,0.09060099999999999,135,0.50255,False,0.10304100000000001,120,0.39414,True,0.44622400000000007,53,0.01847,True,0.760384,52,69
mol_021_E,sp4,1.8033,0.8439069232979031,-0.07370545020751444,0.08702499999999999,135,0.52908,False,0.073441,120,0.42099,False,0.46922500000000006,53,0.04518,True,0.819025,52,64
mol_029_Z,nbo,1.5066,1.8112673611111112,0.25798256123899377,0.0576,118,0.46134,False,0.104329,113,0.42356,False,0.4664890000000001,48,0.0,True,0.48441599999999996,50,64
mol_029_Z,scan_1,1.5066,1.8112673611111112,0.25798256123899377,0.0576,118,0.46134,False,0.104329,113,0.42356,False,0.4664890000000001,48,0.0,True,0.48441599999999996,50,64
mol_029_Z,scan_2,1.9066,0.7120724327931536,-0.14747582720247993,0.11088900000000002,119,0.52977,False,0.07896100000000002,85,0.32431,True,0.47059600000000007,49,0.06275,True,0.829921,48,54
mol_029_Z,sp2,1.6066,1.6338612122788765,0.21321516278307054,0.061503999999999996,118,0.46236,False,0.10048900000000001,93,0.29976,True,0.4664890000000001,48,0.0,True,0.7832250000000001,49,64
mol_029_Z,sp3,1.7066,1.6097892483869458,0.20676902245810838,0.064009,118,0.47954,False,0.10304100000000001,93,0.3156,True,0.45968400000000004,49,0.01721,True,0.820836,48,62
mol_029_Z,sp4,1.8066,0.845029126962694,-0.0731283212737848,0.10368400000000001,119,0.51058,False,0.08761599999999999,93,0.34211,True,0.47334399999999993,49,0.04309,True,0.8408890000000001,48,58
